2023-10-05 11:53:18 - PHP Warning:  Illegal string offset 'data' in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 77
2023-10-05 11:53:18 - PHP Warning:  Illegal string offset 'coordinates' in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 77
2023-10-05 11:53:18 - PHP Notice:  Undefined index: telephone in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 86
2023-10-05 11:53:18 - PHP Notice:  Undefined variable: trading_point_id in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 94
2023-10-05 11:53:18 - PHP Notice:  Undefined variable: api_order_url in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 94
2023-10-05 11:53:18 - PHP Notice:  Undefined variable: response in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 95
2023-10-05 11:53:47 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 248
2023-10-05 11:55:10 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 248
2023-10-05 11:57:01 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 248
2023-10-05 11:59:58 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 248
2023-10-05 12:01:13 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 248
2023-10-05 12:02:24 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 248
2023-10-05 12:09:10 - PHP Warning:  json_decode() expects parameter 1 to be string, object given in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 69
2023-10-05 12:10:35 - PHP Notice:  Undefined index: telephone in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 86
2023-10-05 12:35:13 - PHP Notice:  Undefined variable: trading_point_id in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 94
2023-10-05 12:35:13 - PHP Notice:  Undefined variable: api_order_url in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 94
